,nombre_app,puntaje,bigramas_actividades,conteo
0,AI Dungeon,1,dice cosas hace caso,1
1,AI Dungeon,1,tienen respeto,1
2,AI Dungeon,1,resta puntos,1
3,AI Dungeon,1,darme vueltas,1
4,AI Dungeon,1,Necesito traduccion,1
5,AI Dungeon,1,HAY OTRAS GANAR DINERO,1
6,AI Dungeon,1,impedirlo asco,1
7,AI Dungeon,1,Vaya robo,1
8,AI Dungeon,1,poniendo limite,1
9,AI Dungeon,1,puse dinero,1
10,AI Dungeon,1,tiene demencia,1
11,AI Dungeon,1,poniendo censuras,1
12,AI Dungeon,1,usar energía,1
13,AI Dungeon,1,hace historias,1
14,AI Dungeon,1,dice cosas,1
15,AI Dungeon,1,ver anuncios,1
16,AI Dungeon,1,tengo palabras perdido calidad,1
17,AI Dungeon,1,espiar historias vale verga,1
18,AI Dungeon,1,cambiar idioma,1
19,AI Dungeon,1,tiene ideas,1
20,AI Dungeon,1,tienen acceso,1
21,AI Dungeon,1,iniciar sesión hacer acciones doy cuenta,1
22,AI Dungeon,1,pone error,1
23,AI Dungeon,1,pone negra,1
24,AI Dungeon,2,agregando cosas poner contexto confunde información agrega cosas tome control,1
25,AI Dungeon,2,tomar nota hace cosas obtener acciones,1
26,AI Dungeon,2,guardan relación,1
27,AI Dungeon,2,añade personajes,1
28,AI Dungeon,2,casa vez tienen potencial,1
29,AI Dungeon,2,mete giros,1
30,AI Dungeon,2,ver anuncios lanza error obtener acciones,1
31,AI Dungeon,2,hace falta,1
32,AI Dungeon,2,Hace falta,1
33,AI Dungeon,2,iniciar sesión,1
34,AI Dungeon,3,cambiar idioma,2
35,AI Dungeon,3,tengo problema,1
36,AI Dungeon,3,crea caminos,1
37,AI Dungeon,3,inventa cosas tienen sentido trae personajes,1
38,AI Dungeon,3,saca personajes,1
39,AI Dungeon,3,realizar historias colocan español,1
40,AI Dungeon,3,tiene sentido inventa cosas,1
41,AI Dungeon,3,iniciar sesión,1
42,AI Dungeon,3,salen cosas,1
43,AI Dungeon,3,tiene pinta,1
44,AI Dungeon,3,dice cosas saca personajes,1
45,AI Dungeon,3,tiene memoria,1
46,AI Dungeon,3,dice cosas,1
47,AI Dungeon,3,tuve hijos volví rey,1
48,AI Dungeon,4,crear historias,2
49,AI Dungeon,4,utilize unidades da medidas,1
50,AI Dungeon,4,dice cosas,1
51,AI Dungeon,4,quedan cosas,1
52,AI Dungeon,4,hacer correcciones,1
53,AI Dungeon,4,recordando detalles saca cosas,1
54,AI Dungeon,4,cargar despues,1
55,AI Dungeon,4,poner despues,1
56,AI Dungeon,4,crear imágenes,1
57,AI Dungeon,4,saber inglés,1
58,AI Dungeon,4,gustaria muchisimo ,1
59,AI Dungeon,4,tener android,1
60,AI Dungeon,4,añadir idiomas,1
61,AI Dungeon,4,haría usuario,1
62,AI Dungeon,4,saquen versión,1
63,AI Dungeon,4,dan ayuda,1
64,AI Dungeon,4,crear mundos,1
65,AI Dungeon,4,integren tecnologías,1
66,AI Dungeon,4,agregan cosas,1
67,AI Dungeon,4,falta desarrollo,1
68,AI Dungeon,4,di cuenta,1
69,AI Dungeon,4,toma desiciones olvida lugares,1
70,AI Dungeon,4,crear historias hacen falta,1
71,AI Dungeon,4,hace meses,1
72,AI Dungeon,4,crear aventuras,1
73,AI Dungeon,4,hace caso,1
74,AI Dungeon,4,usa verbos,1
75,AI Dungeon,4,ver anuncios,1
76,AI Dungeon,4,hablar ingles editar configuración crear entradas configurar palabras recuerde información crear personajes,1
77,AI Dungeon,5,sabes inglés,3
78,AI Dungeon,5,hace cosas,2
79,AI Dungeon,5,tiene ayuda,1
80,AI Dungeon,5,saben inglés,1
81,AI Dungeon,5,iniciar sesión,1
82,AI Dungeon,5,improvisar historias,1
83,AI Dungeon,5,tienes imaginación,1
84,AI Dungeon,5,mirando anuncios,1
85,AI Dungeon,5,disfrutar historias,1
86,AI Dungeon,5,poner idioma,1
87,AI Dungeon,5,recibir comandos,1
88,AI Dungeon,5,salen historias,1
89,AI Dungeon,5,hablan inglés,1
90,AI Dungeon,5,bloquean cuentas escriba cosas dar ban,1
91,AI Dungeon,5,saber inglés,1
92,AI Dungeon,5,tiene historias,1
93,AI Dungeon,5,crea historias hace historias,1
94,AI Dungeon,5,recuerda eventos,1
95,AI Dungeon,5,crear paradojas,1
96,AI Dungeon,5,dice cosas,1
97,AI Dungeon,5,generar historias,1
98,AI Dungeon,5,da continuidad,1
99,AI Dungeon,5,Vaya obra,1
100,AI Dungeon,5,encontre fallas inventar cosas,1
101,AI Dungeon,5,da momentos,1
102,AI Dungeon,5,creando historias,1
103,AI Dungeon,5,tuvo relaciones,1
104,AI Dungeon,5,tengo palabras,1
105,AI Dungeon,5,sepan inglés,1
106,Ask AI - Chatbot con GPT,1,teniendo problemas,2
107,Ask AI - Chatbot con GPT,1,pide dinero,2
108,Ask AI - Chatbot con GPT,1,da información,2
109,Ask AI - Chatbot con GPT,1,tener mensajes,2
110,Ask AI - Chatbot con GPT,1,pide pago,2
111,Ask AI - Chatbot con GPT,1,usar chat,2
112,Ask AI - Chatbot con GPT,1,ganar dinero,1
113,Ask AI - Chatbot con GPT,1,utiliza humor responde temas,1
114,Ask AI - Chatbot con GPT,1,pide reseña,1
115,Ask AI - Chatbot con GPT,1,tiene defectos,1
116,Ask AI - Chatbot con GPT,1,descarguen banda,1
117,Ask AI - Chatbot con GPT,1,venderla ,1
118,Ask AI - Chatbot con GPT,1,cobra ja,1
